FS,PN,PP,DIN
0.0,0.0,0.0,0.0
250.10034815872203,543.6533833755582,227.21391835104325,240.26657940571502
11.603686506601072,22.50812187042516,22.498603391556284,15.799338826161579
0.0,0.0,0.0,0.0
10.926104924655561,32.53138450599805,18.44400992874957,18.243724462288764
2952.5703128526225,3356.653359202748,2261.9557279849646,742.545685268121
10.714910163711808,7.102100266871939,7.821086316607684,53.86591249898492
163.0069735427139,149.2894515667824,146.93736540628964,45.46934622466142
25.07021327625916,114.86761213678803,39.7340221873985,721.9281669426533
15.293196587213687,16.475822432049185,8.493966395101063,56.54481605435133
